,beat,beat_num,district,sector,count_l_stops,count_bus_stops,count_metra_stops,count_restaurants,count_bars,count_daycares,count_entertainment,count_businesses,road_distance_ft,TOTAL POPULATION,dist_to_police,dist_to_hospital
203,2,0725,07,2,1.0,20.0,0.0,13.0,0.0,2.0,0.0,24.0,148348.7185652553,5168.646407830373,2395.1919416961587,7926.2319156354515
204,2,0726,07,2,0.0,18.0,0.0,11.0,0.0,1.0,0.0,9.0,129894.16881413308,4763.345994685632,4399.708848019247,5331.050315952469
205,2,0321,03,2,0.0,55.0,0.0,21.0,1.0,0.0,0.0,45.0,258900.09002763894,8025.149379848774,2423.425968346994,5992.771354159958
206,3,0832,08,3,0.0,18.0,0.0,28.0,0.0,3.0,0.0,53.0,164679.32368362058,8132.815409115398,7685.313880117657,2445.693889387601
207,3,0831,08,3,0.0,42.0,0.0,22.0,2.0,5.0,0.0,48.0,272318.11989780754,15438.037465964937,4638.541209050464,2211.3141427069636
208,3,0833,08,3,0.0,52.0,0.0,64.0,6.0,5.0,2.0,174.0,400903.73452863516,20560.604319198403,7479.793944299012,9558.923708740542
209,3,0731,07,3,1.0,32.0,0.0,11.0,0.0,2.0,0.0,22.0,138901.95521901138,4806.761310852194,5775.5999582070435,5502.906400161716
210,2,0322,03,2,0.0,47.0,0.0,13.0,0.0,3.0,0.0,38.0,166363.10804655732,4779.1971592250065,3385.928846538878,5232.1207496309
211,3,0332,03,3,0.0,30.0,2.0,15.0,2.0,3.0,1.0,45.0,123921.90565383641,6647.400885719162,6244.61719884969,4382.390902890288
212,3,0334,03,3,0.0,32.0,1.0,21.0,2.0,5.0,0.0,55.0,132759.6395427828,7167.00909516836,11697.58098698774,5212.353749709967
213,3,0732,07,3,0.0,21.0,0.0,9.0,1.0,2.0,0.0,12.0,138300.029706979,4176.699032009833,4400.5980345139105,5761.933468500083
214,3,0733,07,3,0.0,23.0,0.0,11.0,1.0,1.0,0.0,15.0,145536.9772031824,4906.579913170861,4349.026900478274,7069.817912710918
215,3,0734,07,3,0.0,20.0,0.0,7.0,2.0,1.0,1.0,21.0,146172.56088281766,4391.42362549491,5682.913329157054,8996.773679655118
216,2,0324,03,2,0.0,33.0,1.0,23.0,1.0,4.0,1.0,49.0,238375.4071629165,7654.066578158644,4694.938466303302,2332.6597216620567
217,2,0523,05,2,0.0,11.0,1.0,7.0,3.0,1.0,0.0,24.0,260016.04414254177,11441.29444818835,12483.295195178353,9624.633363876057
218,3,0532,05,3,0.0,35.0,1.0,14.0,0.0,1.0,1.0,34.0,325473.88062451757,5578.598553879429,7803.702089757316,8685.244596085815
219,2,0524,05,2,0.0,47.0,2.0,15.0,0.0,3.0,1.0,47.0,261565.51423826505,8544.126227826118,7338.723290502918,8327.363936467676
220,3,0533,05,3,0.0,21.0,0.0,4.0,0.0,1.0,0.0,10.0,208224.4322882389,6481.643606066083,14760.199446322627,16119.99259623899
221,1,0414,04,1,0.0,52.0,0.0,24.0,1.0,6.0,1.0,81.0,306431.45684013236,11696.405099951047,10134.881888195872,1840.066596624751
222,2,0323,03,2,0.0,47.0,0.0,37.0,4.0,8.0,1.0,55.0,245178.88294061163,7460.886992557333,2566.5802678013515,7736.149875893506
223,1,0411,04,1,0.0,49.0,2.0,16.0,0.0,1.0,0.0,58.0,231176.65602196407,5470.665021703577,7180.695576477024,2783.2223248101054
224,2,0421,04,2,0.0,24.0,2.0,7.0,1.0,3.0,0.0,37.0,151395.68547578686,10253.74962658904,14671.332901851423,4611.948097006635
225,3,0835,08,3,0.0,57.0,1.0,32.0,0.0,8.0,0.0,131.0,563083.4196339704,16930.818276147686,11460.572864758336,7082.769549186803
226,2,0624,06,2,0.0,39.0,0.0,36.0,6.0,5.0,0.0,110.0,179671.80294482026,8351.790392390445,4681.458570367337,5747.684668196194
